Id,Label,timeset,type,value
america,America,,5,375
boko haram,Boko Haram,,5,540
buhari,Buhari,,2,1500
bukola saraki,Bukola Saraki,,2,498
chibok,Chibok,,5,165
china,China,,5,706
covid-19,Covid-19,,4,1405
democratic party,Democratic Party,,3,519
ebola,Ebola,,4,991
federal government,Federal Government,,3,2096
health minister,Health Minister,,2,254
health sector,Health Sector,,2,1173
health workers,Health Workers,,2,1020
kaduna,Kaduna,,5,508
lassa fever,Lassa Fever,,4,221
medical association,Medical Association,,3,890
national assembly,National Assembly,,3,1202
national hospital,National Hospital,,3,320
news organizations,News Organizations,,3,463
nigeria,Nigeria,,5,9648
progressives congress,Progressives Congress,,3,556
senate committee,Senate Committee,,3,573
sexual violence,Sexual Violence,,4,80
state government,State Government,,3,765
Western Africa,Western Africa,,5,3816
labour,Labour,,4,200
